SM Group,SM Title,SM Description,SM Type,Line Color,Fill Color,SM Latitude,SM Longitude,SM Coordinates,smapsID,SM Group 0,SM Group 1
Områder,Holstebro,,Polygon,#FFB124,#3E9FB0,56.46348261,8.6386402,"56.46348261,8.6386402 56.46044761,8.60636786 56.45968889,8.58233527 56.4513415,8.54937628 56.44375117,8.51573065 56.43805763,8.49169806 56.42970537,8.47109869 56.41413501,8.44431952 56.40311798,8.44019965 56.39133763,8.45187262 56.35939829,8.45187262 56.34037413,8.45187262 56.3285744,8.46011237 56.32476721,8.48689154 56.32514798,8.49581793 56.32476721,8.51435736 56.32248275,8.53564337 56.30382114,8.56722906 56.30191631,8.60842779 56.30115437,8.64482001 56.29963049,8.66404608 56.29848752,8.67983893 56.29886852,8.70455817 56.29963049,8.71279791 56.30382114,8.7306507 56.31258181,8.73957709 56.32629009,8.74438361 56.33495054,8.75914648 56.34218185,8.76875952 56.36082481,8.78729895 56.38259502,8.81167487 56.39399803,8.8137348 56.41071627,8.79725531 56.42438942,8.76154974 56.4410943,8.71623114 56.46348261,8.6386402","smdf29c506",Udkald,Områder
Områder,Randers,,Line,#FFB124,#FFB124,56.48323885,10.056892842,"56.48323885,10.056892842 56.486271949,10.011574238 56.481722209,9.982048481 56.470724753,9.961449118 56.450617721,9.960762473 56.434676285,9.97792861 56.430879719,10.013634175 56.433537355,10.062386006 56.445684181,10.097404927 56.466552471,10.104958027 56.478309547,10.087791889 56.48323885,10.056892842 56.48323885,10.056892842 56.48323885,10.056892842 56.48323885,10.056892842 56.48323885,10.056892842 56.48323885,10.056892842 56.48323885,10.056892842 56.48323885,10.056892842 56.48323885,10.056892842 56.48323885,10.056892842 56.48323885,10.056892842 56.48323885,10.056892842","smfb13b325",Udkald,Områder
Områder,Struer,,Polygon,#FFB124,#3E9FB0,56.59413296,8.52843352,"56.59413296,8.52843352 56.58808369,8.52019378 56.57673892,8.54079314 56.57598252,8.55177947 56.56917381,8.55589934 56.56160715,8.54628631 56.54798344,8.53118011 56.54571233,8.51882049 56.53511204,8.49272796 56.52375136,8.48311492 56.49419756,8.44740935 56.48206621,8.42818328 56.46158579,8.41582366 56.43274278,8.41307708 56.43426138,8.45976897 56.44261263,8.48998138 56.45551538,8.5174472 56.46006832,8.55177947 56.4714481,8.57375213 56.4714481,8.6080844 56.47220668,8.62181731 56.48693387,8.65701843 56.50740059,8.65289855 56.5308858,8.62955261 56.57371305,8.56825897 56.59413296,8.52843352","sm50863509",Udkald,Områder
Områder,Billund,,Line,#FFB124,#FFB124,55.8092722,9.082199535,"55.8092722,9.082199535 55.80078235,9.036880932 55.791518586,9.02040144 55.777618809,8.997055492 55.766804442,8.983322582 55.752895846,8.977829418 55.738209167,8.981949291 55.726610517,8.991562328 55.718876169,9.002548656 55.708819226,9.014908276 55.703402877,9.027267895 55.694889952,9.051987133 55.68869757,9.080826244 55.684826834,9.095932446 55.680955715,9.11515852 55.676309865,9.130264721 55.67088901,9.148117504 55.67011454,9.15635725 55.667016511,9.183823071 55.663143628,9.212662182 55.663143628,9.230514965 55.665597471,9.261915804 55.668889238,9.290754916 55.67198712,9.30998099 55.660314475,9.373261789 55.683118111,9.406111366 55.757372581,9.386885292 55.757532597,9.352737866 55.767576997,9.321152172 55.779163474,9.282700024 55.78688588,9.255234203 55.796150746,9.22364851 55.801554233,9.194809399 55.805413408,9.163223705 55.807728729,9.12889143 55.8092722,9.082199535 55.8092722,9.082199535 55.8092722,9.082199535 55.8092722,9.082199535 55.8092722,9.082199535 55.8092722,9.082199535 55.8092722,9.082199535 55.8092722,9.082199535 55.8092722,9.082199535 55.8092722,9.082199535 55.8092722,9.082199535 55.8092722,9.082199535 55.8092722,9.082199535 55.8092722,9.082199535 55.8092722,9.082199535 55.8092722,9.082199535 55.8092722,9.082199535 55.8092722,9.082199535 55.8092722,9.082199535 55.8092722,9.082199535 55.8092722,9.082199535 55.8092722,9.082199535 55.8092722,9.082199535 55.8092722,9.082199535 55.8092722,9.082199535 55.8092722,9.082199535 55.8092722,9.082199535 55.8092722,9.082199535 55.8092722,9.082199535 55.8092722,9.082199535 55.8092722,9.082199535 55.8092722,9.082199535 55.8092722,9.082199535 55.8092722,9.082199535 55.8092722,9.082199535 55.8092722,9.082199535 55.8092722,9.082199535 55.8092722,9.082199535 55.8092722,9.082199535 55.8092722,9.082199535","sm23b29062",Udkald,Områder
Områder,Hurup,,Polygon,#FFB124,#3E9FB0,56.92984598,8.42406339,"56.92984598,8.42406339 56.91785429,8.34166593 56.86384417,8.29222746 56.80674883,8.25377531 56.77064364,8.30870695 56.72546332,8.33067961 56.71340605,8.33617277 56.68324596,8.37462492 56.69531296,8.42406339 56.70436053,8.47899504 56.75860086,8.48998136 56.80073367,8.47350187 56.8157696,8.52294035 56.84882755,8.53392668 56.89385944,8.47899504 56.92984598,8.42406339","sm5c0bdbc8",Udkald,Områder
Områder,Mors,,Polygon,#FFB124,#3E9FB0,56.91485577,8.84703705,"56.91485577,8.84703705 56.8698492,8.68773529 56.86684681,8.62731049 56.81276292,8.57787201 56.78569161,8.55589936 56.74052945,8.5339267 56.71340605,8.55040619 56.68324596,8.64378998 56.68324596,8.68773529 56.69229658,8.75914643 56.7314905,8.79210541 56.77265131,8.93262111 56.81025802,8.95184716 56.86284414,8.94910061 56.91485577,8.90196869 56.91485577,8.84703705","smd8ecfd12",Udkald,Områder
Områder,Thisted,,Polygon,#FFB124,#3E9FB0,57.03759746,8.75365324,"57.03759746,8.75365324 57.03460858,8.61083097 57.01367958,8.544913 56.9628031,8.53941984 56.92684838,8.544913 56.91185701,8.59984464 56.89685963,8.67674894 56.90885799,8.77562589 56.94183372,8.85802336 56.99273883,8.87999601 57.03460858,8.78661222 57.03759746,8.75365324","smdf0461e2",Udkald,Områder
Områder,Lemvig,,Polygon,#FFB124,#3E9FB0,56.65910054,8.20983,"56.65910054,8.20983 56.67419328,8.16588468 56.61983121,8.14391203 56.55630961,8.11644621 56.47448218,8.12193937 56.44716708,8.20433683 56.43805764,8.22630949 56.44593351,8.28913756 56.4686983,8.32484313 56.49571368,8.32518644 56.54470376,8.39154442 56.58858877,8.38605128 56.60370968,8.32287989 56.61277945,8.27344141 56.61277945,8.27344141 56.65910054,8.20983","smf3ec04e6",Udkald,Områder
Områder,Brande,,Line,#FFB124,#FFB124,56.019765988,9.033104381,"56.019765988,9.033104381 56.002876377,8.993278942 55.982906406,8.978172741 55.963694781,8.979546032 55.945242642,8.980919323 55.928320456,8.991905651 55.9221651,9.00426527 55.916008767,9.016624889 55.908633685,9.02622474 55.903245067,9.031031259 55.893235646,9.033777841 55.885534334,9.048884041 55.878601847,9.06124366 55.860879866,9.106562263 55.846233867,9.154627449 55.830039762,9.198572762 55.816925309,9.253504403 55.830811064,9.315302498 55.868586069,9.344141609 55.931719284,9.330408699 55.950177865,9.298823006 55.982906405,9.232231579 55.999804744,9.213005504 56.015160462,9.16631361 56.02130104,9.127861461 56.025138407,9.077049694 56.019765988,9.033104381","smcab64340",Udkald,Områder
Områder,Odense,,Line,#FFB124,#FFB124,55.434597334,10.294497733,"55.434597334,10.294497733 55.434597334,10.459292655 55.409657236,10.511477713 55.370656795,10.54718328 55.3284931,10.563662772 55.312865523,10.536196952 55.295668071,10.473025565 55.287848582,10.407107596 55.2862845,10.365908865 55.289412603,10.313723807 55.303486018,10.247805838 55.325368077,10.225833182 55.359729777,10.2230866 55.401860226,10.25055242 55.422129255,10.26428533 55.434597334,10.294497733","smc5d56401",Udkald,Områder
