SM Type,SM Group,SM Title,SM Description,SM Latitude,SM Longitude,SM Coordinates,smapsID,Plads navn,Adresse,post nr,By,Niveau,KodeNøgle,Strømiddel,App,Storkunde,Ejendomskontakt,Område,Dage,Status,title,Bemærkning,SM Group 0,SM Group 1,SM Group 2,SM Group 3,SM Group 4
Marker,Høj,Ø05,,56.5675492,9.0289059,"56.5675492,9.0289059","smfc9fc048",Torvegade 14a bolig Skive,Torvegade 14A,7800,Skive,Høj,0,Vejsalt,0,Ingen,0,ViborgSkive,AlleDage,Aktiv,Ø05,,List 3/10-2025,Høj
Marker,Høj,Ø06,,56.5812351,9.0285444,"56.5812351,9.0285444","sme19bdf2b",Resenvej 85 Fjordland Skive,Resenvej 85,7800,Skive,Høj,0,Vejsalt,0,Ingen,0,ViborgSkive,AlleDage,Aktiv,Ø06,,List 3/10-2025,Høj
Marker,Høj,Ø07,,56.5491072,9.0487322,"56.5491072,9.0487322","sma68bf877",Thorsvej 8 Dansk Outlet Skive,Thorsvej 8,7800,Skive,Høj,0,Vejsalt,0,Ingen,0,ViborgSkive,AlleDage,Aktiv,Ø07,,List 3/10-2025,Høj
Marker,Høj,Ø08,,56.598271601,9.201170879,"56.598271601,9.201170879","sm93e81905",Ørslevklostervej 127C Bøgely Plejecenter Hald,Ørslevklostervej 127C,7840,Højslev,Høj,0,Vejsalt,0,Plougmann,0,ViborgSkive,AlleDage,Aktiv,Ø08,,List 3/10-2025,Høj
Marker,Høj,Ø09,,56.5877952,9.1378375,"56.5877952,9.1378375","smce026fe8",Lundøvej 88 Aab Højslev,Lundøvej 88C,7840,Højslev,Høj,0,Vejsalt,0,Plougmann,0,ViborgSkive,AlleDage,Aktiv,Ø09,IKKE IND TIL DØRE,List 3/10-2025,Høj
Marker,Høj,Ø10,,56.5780484,9.1356302,"56.5780484,9.1356302","smefedd963",Ørslevklostervej 58A Nordic Food Højslev,Ørslevklostervej 58A,7840,Højslev,Høj,0,Vejsalt,0,Ingen,0,ViborgSkive,AlleDage,Aktiv,Ø10,IKKE SNE FORAN CONTAINERE,List 3/10-2025,Høj
Marker,Høj,Ø11,,56.5514101,9.0295164,"56.5514101,9.0295164","smfaafab75",Kirke Alle 105 Egeris butikstorv Skive,Kirke Alle 105,7800,Skive,Høj,0,Vejsalt,0,Ingen,0,ViborgSkive,AlleDage,Aktiv,Ø11,,List 3/10-2025,Høj
Marker,Høj,Ø12,,56.577873,9.0301231,"56.577873,9.0301231","smbe6cd281",Resenvej 54 GF Skive,Resenvej 54,7800,Skive,Høj,0,Vejsalt,0,Ingen,0,ViborgSkive,AlleDage,Aktiv,Ø12,,List 3/10-2025,Høj
Marker,Høj,Ø15,,56.5499812,9.1149361,"56.5499812,9.1149361","sm6cc5ea00",Viborgvej 231 Højslev Teglværk Højslev,Viborgvej 231,7840,Højslev,Høj,0,Vejsalt,0,Ingen,0,ViborgSkive,AlleDage,Aktiv,Ø15,,List 3/10-2025,Høj
Marker,Høj,Ø18,,56.478651,9.23125,"56.478651,9.23125","sm0e6f908e",Borrisvej 2 Nordstjernen Sparkær,Borrisvej 2,8800,Viborg,Høj,0,Vejsalt,0,Ingen,0,ViborgSkive,AlleDage,Aktiv,Ø18,IKKE SALT HELT IND TIL DØRE,List 3/10-2025,Høj
Marker,Høj,Ø19,,56.4787988,9.2326708,"56.4787988,9.2326708","smc811b642",Borrisvej 4 Kirke Sparkær,Borrisvej 4,8800,Viborg,Høj,0,Vejsalt,0,Ingen,0,ViborgSkive,AlleDage,Aktiv,Ø19,,List 3/10-2025,Høj
Marker,Høj,Ø20,,56.4801637,9.2279924,"56.4801637,9.2279924","sm25c437ef",Præstebakken 9 Præstegård Sparkær,Præstebakken 9,8800,Viborg,Høj,0,Vejsalt,0,Ingen,0,ViborgSkive,AlleDage,Aktiv,Ø20,,List 3/10-2025,Høj
Marker,Høj,Ø21,,56.5548921,9.0878437,"56.5548921,9.0878437","sm190e4c02",Østergårdvej 5 Knudsgaard Højslev,Østergårdsvej 5,7840,Højslev,Høj,Nøgle kort,Vejsalt,0,Ingen,0,ViborgSkive,KunHverdage,Aktiv,Ø21,Køres ikke i weekend og helligdage,List 3/10-2025,Høj
